based_in:,member for:,company_name:,rating:,reports:
"Sandbach, Cheshire",4 years,A & R Home Improvements,9.88,145
"Glasgow, Lanarkshire",Less than a year,A & R Plastering,9.95,20
"Poole, Dorset",5 years,A & R Property Maintenance,9.92,66
"Cranleigh, Surrey",Less than a year,A & R Roofing,9.4,12
"Newhaven, East Sussex",8 years,A & S Electrical,9.9,44
"Gosport, Hampshire",6 years,A & S Motors Ltd,9.79,723
"Washington, Tyne and Wear",3 years,A & S Plasterers & Building Contractors,9.95,68
"Horsham, West Sussex",3 years,A & S Plumbing,9.75,104
"Sutton, Greater London",12 years,A & S Plumbing Services,9.74,558
"Chippenham, Wiltshire",2 years,A & S Tree & Landscaping,9.7,59
"Bordon, Hampshire",2 years,A & S Worger,9.97,80
"Grays, Essex",1 year,A & T Home Improvements,9.67,12
"Portsmouth, Hampshire",Less than a year,A & T Roofing Specialists,9.8,10
"Hounslow, Middlesex",9 years,A 2 Z Electricals (UK) Ltd,9.7,463
"Tonbridge, Kent",4 years,A 4 Aerials Limited,9.97,526
"Redcar, Cleveland",4 years,A A A Roofing,9.8,403
"Southampton, Hampshire",8 years,A A Aldridge Garage Doors,9.97,1471
"Doncaster, South Yorkshire",1 year,A A C Plumbing and Heating,9.87,65
"Wolverhampton, West Midlands",2 years,A A Digital Aerials,9.84,104
"Godalming, Surrey",8 years,A A Harrison & Sons Ltd,9.79,32
"Leeds, West Yorkshire",1 year,A A Plumbing and Heating,9.92,13
"Grimsby, Lincolnshire",Less than a year,A and D Electrical Services,9.68,10
"Southampton, Hampshire",8 years,A and G Fencing and Building Maintenance Ltd,9.96,359
"Oldham, Greater Manchester",2 years,A And Jay Plastering,9.73,81
Horsham,Less than a year,A and P Brickwork,9.86,7
"New Milton, Hampshire",3 years,A Armstrong Plumbing & Heating,9.97,347
"Poole, Dorset",5 years,A B Aerials,9.91,840
"Sidcup, Kent",Less than a year,A B Brickwork,9.94,17
"Thatcham, Berkshire",5 years,A B C Services (Thatcham) Ltd,9.86,75
"Liverpool, Merseyside",2 years,A B C Windows,9.75,46
"Godalming, Surrey",3 years,A B Conservatories,9.82,91
"Worthing, West Sussex",8 years,A B Construction,9.85,52
"Ivybridge, Devon",2 years,A B Construction S W Ltd,9.17,19
"Chessington, Surrey",11 years,A B Contractors & Sons Ltd.,9.78,132
"Houghton Le Spring, Tyne and Wear",Less than a year,A B Decorators,9.8,11
"Durham, County Durham",3 years,A B Electricals,9.75,76
"Cobham, Surrey",3 years,A B G Trees & Landscapes,9.87,109
"Feltham, Middlesex",7 years,A B H Builders,9.88,117
"Poole, Dorset",3 years,A B Home Improvements,9.74,51
"Worthing, West Sussex",5 years,A B Landscaping,9.92,160
"St. Austell, Cornwall",2 years,A B Property Maintenance,9.82,25
"Grantham, Lincolnshire",2 years,A B Roofing,9.86,106
Chessington,5 years,A B Roofing,9.79,91
"Watford, Hertfordshire",Less than a year,A B Solutions Electrical Ltd,9.78,15
"Camberley, Surrey",10 years,A B Wells Electrical,9.8,51
London,1 year,A B Wood Flooring,9.92,27
"Yateley, Surrey",1 year,A Bailey Roofing Services Ltd,9.73,33
"Nottingham, Nottinghamshire",2 years,A Barker Roofing Building,9.89,24
"Tonbridge, Kent",3 years,A Bayley Carpentry,9.92,45
"Portsmouth, Hampshire",Less than a year,A Beck Plumbing & Heating Ltd,9.87,31
"Reading, Berkshire",2 years,A Better Drainflow Ltd,9.92,237
"Whitstable, Kent",2 years,A Bird Ltd Trees And Gardens,9.93,102
"Hailsham, East Sussex",Less than a year,A Blast To The Past,9.69,9
"Harlow, Essex",1 year,A Boylan General Building Services Ltd,9.81,18
"Whitstable, Kent",1 year,A Breck Electrical,9.87,49
"Ipswich, Suffolk",Less than a year,A Brettell Electrical,9.91,36
"Kings Langley, Hertfordshire",4 years,A Brighter Home,9.92,444
"Worthing, West Sussex",4 years,A Brighter Outlook Limited,9.87,261
"Sydenham , London",1 year,A Brown's Plastering,9.81,29
"Upminster, Essex",4 years,A C Decorators,9.92,103
"Bexhill-on-Sea, East Sussex",5 years,A C E Brickwork and Carpentry,9.79,54
"Birmingham, West Midlands",3 years,A C E Building Services,9.76,72
"London, Greater London",Less than a year,A C Electrical,9.63,6
"Hassocks, West Sussex",Less than a year,A C Electrical,9.96,17
"Brighton, East Sussex",12 years,A C Electrics ( Sussex ) LTD,9.77,553
"Maidstone, Kent",4 years,A C Installations,9.49,140
"Sunbury-on-Thames, Surrey",7 years,A C Jackson and Son,9.97,247
"Morpeth, Northumberland",1 year,A C Joinery (Amble) Limited,9.89,26
"Yarm, Teesside",1 year,A C Movers,9.98,59
Welling,1 year,A C Plastering & General Building,9.91,66
"Taunton, Somerset",1 year,A C Plumbing & Heating Specialist Ltd,9.86,60
Croydon,1 year,A C Read Electrics Ltd,9.91,44
"Ashtead, Surrey",12 years,A C Rose Plumbing & Heating,9.77,641
"Basingstoke, Hampshire",Less than a year,A Clarke Plumbing,9.97,48
"Southampton, Hampshire",5 years,A Class Construction Southern Ltd,9.91,83
London,1 year,A Class Electrical,9.91,35
"Blackpool, Lancashire",1 year,A Class Plumbing & Electrical Ltd,9.86,24
"Sheerness, Kent",5 years,A Class Windows Ltd,9.98,197
"Feltham, Middlesex",4 years,A Clean Sweep Ltd,9.99,591
"Hove, East Sussex",4 years,A Clearer Picture,9.83,634
"Stockton-on-Tees, Durham",Less than a year,A Close Roofing & Maintenance,0,1
Romford,3 years,A Complete Service,9.98,1506
"Camberley, Surrey",5 years,A Complete Sweep,9.98,152
"Newbury, Berkshire",3 years,A Cornish Groundwork and Developments,9.9,103
"Chertsey, Surrey",7 years,A Cut Above,9.78,112
"Bolton, Greater Manchester",Less than a year,A D 3 Design Ltd,9.58,6
"Billingshurst, West Sussex",11 years,A D C Appliances,9.87,619
"South Croydon, Surrey",Less than a year,A D C Property Consultants,9.86,23
"Corby, Northamptonshire",1 year,A D Cheatley Plumbing & Heating,9.74,41
"Guildford, Surrey",1 year,A D Contractors,9.77,16
"London, London",1 year,A D Glassworks Ltd,9.88,8
"High Wycombe, Buckinghamshire",Less than a year,A D Heating & Gas Ltd,9.99,23
"Sutton, Surrey",10 years,A D Hills Plastering,9.8,140
"Leeds, West Yorkshire",3 years,A D Hirst,9.38,8
Twickenham,8 years,A D Plumbing & Heating,9.83,324
"Christchurch, Dorset",Less than a year,A D Plumbing Services Ltd,9.92,6
"Aldershot, Hampshire",7 years,A D Repairs Ltd,9.83,1293
"Broadstone, Dorset",4 years,A D S Services (UK) Ltd,9.98,1820
"Eye, Suffolk",4 years,A D Veale Water Treatment Ltd,9.87,203
"Wisbech, Cambridgeshire",Less than a year,A D Wharfe General Building & Home Improvements,9.9,5
"Horley, Surrey",6 years,A Dansie Roofing Limited,9.85,193
"Johnstone, Renfrewshire",Less than a year,A Davidson Joiners & Builders,9.88,8
"Hailsham, East Sussex",5 years,A Davies Plastering,9.95,86
"Brighton, East Sussex",Less than a year,A Day Plastering,9.94,48
"Worthing, West Sussex",5 years,A Dowding Property Refurbishment & Garden Services,9.93,148
"Guildford, Surrey",2 years,A Duncan Building Services,9.93,61
"Tadworth, Surrey",4 years,A E Barrington Installations,9.94,135
"Kettering, Northamptonshire",3 years,A E Home Improvements,9.85,84
"Addlestone, Surrey",5 years,A E Tiling Limited,9.6,64
"Newport, Newport",2 years,A Edwards Home Improvements,9.57,44
"Aylesbury, Buckinghamshire",Less than a year,A F Foster Roofing and Building,9.78,16
"Ascot, Berkshire",1 year,A F Maintenance,9.84,20
"Havant, Hampshire",2 years,A F Roofing,9.84,40
"Portsmouth, Hampshire",2 years,A Foster Plumbing and Heating Ltd,9.92,104
"Poole, Dorset",7 years,A G Brooks & Son,9.91,105
"Havant, Hampshire",11 years,A G Carpentry,9.93,587
Surbiton,3 years,A G Carpet & Flooring Ltd,9.85,126
"Reading, Berkshire",Less than a year,A G Carpet & Upholstery Cleaning,9.94,67
"Witney, Oxfordshire",4 years,A G D Dorflo Limited,9.87,95
"Burgess Hill, West Sussex",Less than a year,A G Garden & Tree,9.77,31
"Billingshurst, West Sussex",6 years,A G Heating & Plumbing Services Limited,9.75,122
"Stockton-on-Tees, Durham",1 year,A G J Roofing,9.72,18
"Twickenham, Middlesex",1 year,A G Plastering and Decorating,9.91,11
"Romsey, Hampshire",4 years,A G T Carpentry & Joinery,9.79,93
"Farnborough, Hampshire",2 years,A G W Domestic Services,9.96,101
"Bournemouth, Dorset",5 years,A Garage On Wheels - Mobile Mechanic,9.97,680
"Gosport, Hampshire",9 years,A Gilbert Plastering & Ceramic Tiling,9.83,265
"Winchester, Hampshire",11 years,A Good Plumber (UK),9.78,90
"Croydon, Surrey",3 years,A Gray & Sons,9.8,41
"Poole, Dorset",4 years,A Gray Painting & Decorating,9.99,136
"Gillingham, Kent",2 years,A Green Carpentry,9.88,65
"Plymouth, Devon",1 year,A Griffiths Plumbing & Heating,9.88,24
"Haywards Heath, West Sussex",5 years,A H A Garage Doors,9.92,183
"Faversham, Kent",3 years,A H Building & Plastering,9.87,106
"Uxbridge, Middlesex",1 year,A H Building Services,9.88,12
Ferndown,5 years,A H Electrical Services,9.92,129
"Yateley, Hampshire",7 years,A H Interiors,9.95,73
"Isleworth, Greater London",2 years,A H L Locksmiths,9.99,87
"Salisbury, Wiltshire",Less than a year,A H Painting,9.94,18
Ringwood,1 year,A H Plastering,9.99,51
"Rochester, Kent",1 year,A H Plastering,9.91,47
"Portsmouth, Hampshire",8 years,A H Plastering,9.94,291
"Mexborough, South Yorkshire",Less than a year,A Haynes Plastering,9.93,14
Worcester Park,1 year,A Hendry Roofing,9.74,22
"Westbury, Wiltshire",1 year,A Henshall Home Improvements,9.84,26
"Aldershot, Surrey",6 years,A Hockley General Builder,9.97,55
"Andover, Hampshire",6 years,A Hollands Decorating & Property Maintenance,9.94,71
"Petersfield, Hampshire",9 years,A Humphrey Carpentry,9.9,182
"Southampton, Hampshire",Less than a year,A Hurst Building & Landscaping Services,9.88,20
"Henfield, West Sussex",Less than a year,A Hyatt Contractors Ltd,10,1
Glasgow,Less than a year,A I Lindsay,9.79,6
"London, Greater London",Less than a year,A I Plastering & Painting Services,9.8,5
"Leatherhead, Surrey",Less than a year,A J Brown & Sons,9.89,9
"Woking, Surrey",2 years,A J Builders,9.84,47
"Newcastle upon Tyne, Tyne and Wear",1 year,A J Burness Carpet and Flooring Specialist,9.84,41
"Gateshead, Tyne and Wear",1 year,A J Ceramics,9.95,48
Barnet,3 years,A J Coles Chimneys Ltd,9.95,72
"Romford, Essex",Less than a year,A J Construction South Ltd,9.99,18
"Basingstoke, Hampshire",6 years,A J Cutcliffe,9.78,47
"Sevenoaks, Kent",Less than a year,A J Decorating,9.92,39
"Morden, Surrey",Less than a year,A J Electrical & Maintenance Services,9.96,19
"Bournemouth, Dorset",9 years,A J Field Home Improvements,9.73,32
"Southampton, Hampshire",Less than a year,A J Fry Bathrooms,9.9,41
"Stourport-on-Severn, Worcestershire",1 year,A J Gwilliam Home Improvements,9.67,12
"St. Albans, Hertfordshire",Less than a year,A J Heating & Plumbing,9.88,14
"Gillingham, Kent",3 years,A J Hills Painting and Property Maintenance,9.83,27
"Lewes, East Sussex",10 years,A J Homemaker Ltd,9.53,69
"Twickenham, Greater London",7 years,A J Mann Ltd,9.93,120
"Rickmansworth, Hertfordshire",4 years,A J Mitchell Plumbing & Heating,9.82,51
"Thames Ditton, Surrey",8 years,A J Neale,9.94,56
"Caerphilly, Mid Glamorgan",Less than a year,A J Painting and Decorating Services,9.98,11
"Winchester, Hampshire",Less than a year,A J Plumridge Plastering Contractor,9.84,17
"Ventnor, Isle of Wight",2 years,A J Property Services,9.95,50
"Shrewsbury, Shropshire",Less than a year,A J Roberts Plastering,9.98,21
"Sevenoaks, Kent",1 year,A J Rooke Ltd,9.93,35
"Gillingham, Kent",Less than a year,A J Ross Electrical,9.86,74
"Newark, Nottinghamshire",3 years,A J S Paving,9.75,73
"Horsham, West Sussex",Less than a year,A J Scriven Tree Services,9.88,14
"Gosport, Hants",7 years,A J Smith Plastering Services,9.87,167
"Fareham, Hampshire",11 years,A J Stowe Painting and Decorating,9.91,621
"Hove, East Sussex",1 year,A J Sussex Construction Ltd,9.77,12
"Chertsey, Surrey",4 years,A J W Painting Contractors Ltd,9.81,162
"Aylesbury, Buckinghamshire",1 year,A J Wells & Sons Trees & Landscapes,9.77,36
"Sandwich, Kent",1 year,A J Windows and Doors,9.96,43
"Cranbrook, Kent",5 years,A James Builders,9.93,85
"Brighton, East Sussex",Less than a year,A Jamieson Roofing,9.89,9
"Eastbourne, East Sussex",5 years,A Job Well Done Plumbing And Heating Engineers Limited,9.61,39
"Cowdenbeath, Fife",1 year,A Johnstone and Sons Roofing,9.55,33
"Lewes, East Sussex",5 years,A Jones,9.84,216
"Woking, Surrey",5 years,A Jones Groundwork Contractors,9.79,60
"Southampton, Hampshire",4 years,A Jupe's Plumbing and Heating Services,9.75,291
"Wimbledon, London",6 years,A K Building & Decorating Ltd,9.87,80
"London, Greater London",Less than a year,A K C Roofing,9.76,27
"Horley, Surrey",6 years,A K Doors & Gates Ltd,9.9,629
"Romsey, Hampshire",2 years,A K Heating & Plumbing,9.82,77
"Epsom, Surrey",3 years,A K J Waste & Recycling,9.95,68
"Ashford, Middlesex",5 years,A K M,9.89,167
London,1 year,A K N Electrical Contractors,9.91,99
"Reading, Berkshire",Less than a year,A K Plastering & Construction,9.63,8
"Worcester Park, Surrey",4 years,A K S Cleaning Services,9.81,80
"Sittingbourne, Kent",5 years,A K S Electrical (Kent) Ltd,9.97,96
"Eastleigh, Hampshire",Less than a year,A Killick Roofing Services,9.92,13
"Redhill, Surrey",6 years,A L C Decorating Services,9.98,122
"Portsmouth, Hampshire",1 year,A L L Decorating & Property Services Ltd,9.77,103
"Bournemouth, Dorset",7 years,A L Marsh Tiling & Bathrooms,9.9,58
"Gloucester, Gloucestershire",4 years,A L Plastering,9.82,47
"Lincoln, Lincolnshire",1 year,A L S Fencing and Landscaping,9.94,12
"Bracknell, Berkshire",2 years,A Landscapes Ltd,9.75,57
"Wallingford, Oxfordshire",3 years,A Lewis Construction Services,9.87,53
Romford,2 years,A Lincoln Carpentry Ltd,9.74,51
"Sunderland, Tyne and Wear",2 years,A Line Aerial & Satellite Engineers,9.81,151
"Twickenham, Greater London",8 years,A Line Roofing,9.9,231
"New Malden, Greater London",3 years,A Local Plumbers,9.85,143
"Worksop, Nottinghamshire",1 year,A Lyle & Son,9.95,73
"Deal, Kent",1 year,A M Aerial Installations,10,115
"Broxbourne, Hertfordshire",Less than a year,A M Arkell,10,9
"Christchurch, Dorset",4 years,A M Beasley Roofing Ltd,9.89,144
"Milton Keynes, Buckinghamshire",1 year,A M C Roofing,9.3,5
"Lancing, West Sussex",5 years,A M Flooring,9.96,146
"Wokingham, Berkshire",3 years,A M Flooring & Co.,9.93,63
"Wingate, Durham",1 year,A M Gas & Heating Services,9.91,22
"Hounslow, Greater London",3 years,A M Glass & Mirror Ltd,9.77,22
"Coventry, Warwickshire",1 year,A M Ormerod Heating And Plumbing,9.78,31
"Chippenham, Wiltshire",3 years,A M P Property Maintenance,9.58,33
"Steyning, West Sussex",2 years,A M Page Construction,9.87,12
"Blackpool, Lancashire",2 years,A M Patio & Driveways Limited,9.91,87
"Bracknell, Berkshire",Less than a year,A M Plastering,9.87,19
Ruislip,4 years,A M Services London Ltd,9.87,142
"Bicester, Oxfordshire",Less than a year,A M Simpson Painting & Decorating,9.83,15
"Haywards Heath, West Sussex",5 years,A M Wheeler Builder,9.95,163
"Bristol, Avon",Less than a year,A M Windows (South West) Ltd,9.82,19
"Manchester, Greater Manchester",Less than a year,A Madden Drainage and Plumbing,9.95,24
"Birmingham, West Midlands",Less than a year,A Man Who Can,9.85,5
"Heathfield, East Sussex",1 year,A Mann Building Contractors Limited,9.9,41
"Gerrards Cross, Buckinghamshire",3 years,A Mark Cleaning Services,9.88,86
London,4 years,A Martens Kitchens & Bathrooms,9.6,47
"Swindon, Wiltshire",Less than a year,A Martin Painters & Decorators Swindon,10,11
Surbiton,2 years,A Mason Property Maintenence,9.95,26
"Reading, Berkshire",13 years,A Mills & Sons Decorating & Refurbishments,9.81,548
"Manchester, Greater Manchester",4 years,A N Property Solutions,9.89,496
"Worthing, West Sussex",Less than a year,A Noakes Carpentry,9.88,10
"Wigan, Greater Manchester",2 years,A O'Donnell Roofing,9.66,46
"Croydon, Greater London",8 years,A Owens Plumbing & Heating Services,9.87,393
"Guildford, Surrey",7 years,A P Benson Roofing & Building Ltd,9.84,144
"Shoreham-by-Sea, West Sussex",8 years,A P Decorators (Brighton),9.96,94
"Orpington, Kent",Less than a year,A P Drew,9.72,27
"Chichester, West Sussex",2 years,A P Easton Plastering,9.95,55
"St Helens, Merseyside",1 year,A P Electrics,9.7,11
"Shepperton, Middlesex",9 years,A P Garden Services,9.79,124
Chessington,1 year,A P H Electrics,9.99,53
"Lancing, West Sussex",14 years,A P Meredith & Son,9.88,102
"Banstead, Surrey",4 years,A P Property Solutions,9.94,82
"London, Greater London",Less than a year,A P Roofing,10,11
"Maidstone, Kent",7 years,A P S Gas and Heating Ltd,9.95,562
"Southampton, Hampshire",4 years,A P Smith Roofing Services,9.86,111
Harrow,3 years,A Papassidero Home Improvement,9.78,38
"Maidstone, Kent",3 years,A Parkes Construction Ltd,9.67,3
"Littlehampton, West Sussex",Less than a year,A Parsons Electrical Ltd,9.83,12
"Walsall, West Midlands",Less than a year,A Picken Electricians,9.84,23
"Poole, Dorset",Less than a year,A Plumber On Tap,9.93,62
London,1 year,A Plumbing & Building Services,9.95,110
"Leytonstone, London",1 year,A Plumbing and Heating,9.36,19
"Bishop's Stortford, Hertfordshire",Less than a year,A Plus Builders Ltd,9.79,6
London,5 years,A Plus Home Services,9.79,167
"Lancing, West Sussex",3 years,A Plus Rated Windows Limited,9.96,117
"Sidmouth, Devon",1 year,A Point Ltd,9.72,9
Isleworth,1 year,A Proud Cleaning Co,10,20
"Havant, Hampshire",3 years,A Pyramid,9.88,83
"Mitcham, Greater London",5 years,A Q Doors & Windows,9.78,93
"Hemel Hempstead, Hertfordshire",3 years,A R & C Smith Plumbing & Heating,9.94,78
"Cranleigh, Surrey",Less than a year,A R B Property Maintenance,9.86,11
"Durham, Durham",1 year,A R Building Contractors (North East) Limited,9.86,16
"Reading, Berkshire",2 years,A R Construction,9.75,18
"Ashford, Surrey",2 years,A R Construction,9.88,65
"Aldershot, Hampshire",3 years,A R Construction Farnham Limited,9.64,18
"Worcester, Worcestershire",2 years,A R Decorating,9.81,12
"Swindon, Wiltshire",4 years,A R Electrical (Swindon) Ltd,9.95,41
"Pulborough, West Sussex",5 years,A R Garden Tree Care,9.97,131
"Bishop's Stortford, Essex",3 years,A R Green Plastering Contractor,9.91,29
"London, Greater London",Less than a year,A R Jarvis,10,5
"Southport, Merseyside",1 year,A R Johnson Plumbing  & Heating Services,9.89,172
"Maldon, Essex",2 years,A R Locksmiths,9.89,95
"Colchester, Essex",1 year,A R Nunn Plumbing & Heating,10,27
"Swindon, Wiltshire",4 years,A R P Heating,9.92,63
"Barnsley, South Yorkshire",1 year,A R Plastering,9.82,10
"Reading, Berkshire",6 years,A R Plastering,9.87,112
"Peterborough, Lincolnshire",1 year,A R Plumbing & Heating,9.93,74
"Harpenden, Hertfordshire",Less than a year,A R Plumbing & Heating,9.86,60
"Sunderland, Tyne and Wear",3 years,A R Property Services,9.81,90
"Chester le Street, County Durham",1 year,A R Wood Burning Stoves,9.87,29
"Glasgow, East Dunbartonshire",Less than a year,A Rated Roofs Ltd,9.95,24
"Waterlooville, Hampshire",7 years,A Reeve & K Mills,10,53
"Longfield, Kent",Less than a year,A Rolfe Plumbing & Heating,9.98,127
"Eastleigh, Hampshire",1 year,A Roling Electrical Services Limited,9.61,23
"Sunderland, Tyne and Wear",3 years,A Ross Electrical,9.98,77
"Larbert, Falkirk",2 years,A Rowan Roofing,9.87,116
"Peacehaven, East Sussex",1 year,A S Anderson and Son Ltd,9.97,24
"Burgess Hill, West Sussex",1 year,A S Brickwork,9.8,14
"Burgess Hill, West Sussex",12 years,A S Building & Plumbing Ltd,9.7,59
"Whitstable, Kent",1 year,A S Carpentry & Roofing,9.99,44
"Greenford, Middlesex",1 year,A S Constructions,9.25,17
"Melton Mowbray, Leicestershire",3 years,A S Doors,9.92,86
"Sompting, West Sussex",11 years,A S H Electrical (Sussex) Ltd,9.93,415
"Ruislip, Middlesex",Less than a year,A S L Plastering,9.96,17
"Dagenham, Essex",1 year,A S Plastering Services Ltd,9.87,37
London,4 years,A S Plumbing & Gas Ltd,9.96,127
"Epsom, Surrey",7 years,A S Plumbing & Heating,9.9,206
"Northampton, Northamptonshire",3 years,A S Plumbing And Heating,9.9,233
"East Grinstead, West Sussex",Less than a year,A S Property Services,9.84,22
"Sunbury-on-Thames, Middlesex",5 years,A S Treecare,9.95,503
"Chessington, Greater London",6 years,A Sash Window Wizard Ltd,9.86,260
"Carshalton, Greater London",8 years,A Sawyer Glazing,9.94,711
"Maidstone, Kent",6 years,A Short Locksmith,9.95,344
"Newcastle upon Tyne, Tyne and Wear",Less than a year,A Singleton & Son Tree Services,9.9,20
"Congleton, Cheshire",1 year,A Small Man With A Big Van Limited,9.97,70
"Barnet, Hertfordshire",Less than a year,A Sparky Technical Building Services,9.97,9
"Hitchin, Hertfordshire",1 year,A Square Plumbing and Heating,9.94,45
"Ipswich, Suffolk",4 years,A Star Cleaning Services Limited,9.99,274
"Basingstoke, Hampshire",3 years,A Star Clearance & Removals,9.59,56
"Colchester, Essex",Less than a year,A Star Domestic & Commercial Cleaning Services,9.86,37
Croydon,2 years,A Star Drainage Services Ltd,9.91,44
"Crawley, West Sussex",5 years,A Star Gardening Sevices,9.99,50
"Gosport, Hampshire",3 years,A Star Gas Heating & Plumbing,9.96,97
"Brighton, East Sussex",6 years,A Star Roofing & Property Maintenance,9.87,130
"Lewes, East Sussex",Less than a year,A Stenning Roofing Ltd,9.9,17
"Littlehampton, West Sussex",1 year,A Stevens & Son Painting and Decorating,9.85,72
"Battle, East Sussex",6 years,A Stevens & Sons Limited,9.83,136
"Stafford, Staffordshire",3 years,A Stevens Home Improvements,9.85,122
"Radstock, Somerset",1 year,"A Stiley Plastering, Rendering & Property Maintenance",9.7,22
"Windlesham, Surrey",Less than a year,A Stuart Landscapes,9.93,7
"Bournemouth, Dorset",1 year,A T Home Services,9.85,25
London,1 year,A T Plumbing & Heating,9.6,77
"Bognor Regis, West Sussex",3 years,A T R Electrical Services LTD,9.93,224
"Sutton, Greater London",7 years,A T W Services,9.85,99
"Southampton, Hampshire",7 years,A Tarr Plumbing & Heating,9.8,95
"Leyland, Lancashire",2 years,A Team (Northwest) Limited,9.85,31
"Leicester, Leicestershire",Less than a year,A Team Air Conditioning Services Ltd,9.55,5
"Purley, Surrey",1 year,A Team Brickwork Ltd,9.44,22
"Croydon, Surrey",6 years,A Team Builders & Heating,9.93,71
London,3 years,A Team Window Repairs,9.93,28
"Woodford Green, Greater London",3 years,A Thomas Tiling,9.99,29
"St. Albans, Hertfordshire",2 years,A To Z Gardening Landscaping Services Ltd,9.83,81
"East Grinstead, West Sussex",1 year,A to Z Refurb Specialists Ltd,9.88,38
"Redhill, Surrey",4 years,A Total Waste Clearance,9.96,202
"Letchworth Garden City, Hertfordshire",Less than a year,A Touch Of Glass Windows and Doors,9.76,27
"Twickenham, Greater London",4 years,A Twickenham Roofing Service,9.82,153
"Manchester, Greater Manchester",Less than a year,A V Electrical Contractors,9.86,11
"Stevenage, Hertfordshire",1 year,A Vision For You,9.83,66
"Reading, Berkshire",10 years,A W C Loft Conversions Ltd,9.72,199
"Sheffield, South Yorkshire",2 years,A W Fascias,9.59,41
"Chichester, West Sussex",7 years,A W Garage Doors & Repairs Ltd,9.87,1719
"Carshalton, Greater London",6 years,A W Heating Specialists Ltd,9.77,214
"Dover, Kent",3 years,A W Hooper Building & Property Maintenance,9.89,79
"Southampton, Hampshire",3 years,A W Paving,9.74,70
"Brighton, East Sussex",9 years,A Weller General Building Services,9.89,78
